[90,20,70,90,150,115,90,94,126,87,90,90,83,63,82,90] + [300,300] 
[90,90,90,90,90,90,90,94,126,87,90,90,83,63,82,90] + [300,300] 
[0,90,90,180,90,90,90,94,126,87,90,90,83,63,82,90] + [300,300] 
[0,0,90,180,180,90,90,94,126,87,90,90,83,63,82,90] + [300,300] 
[0,1,90,180,180,90,83,30,164,87,92,94,150,16,93,88] + [300,300] 
[0,1,90,180,180,90,83,30,164,87,92,94,150,16,93,88] + [700,700] 
[5,5,91,175,175,90,85,10,172,65,90,95,170,8,116,90] + [300,300] 
[5,5,91,175,175,90,85,10,172,65,90,95,170,8,116,90] + [700,700] 
[0,1,90,180,180,90,85,10,160,45,90,95,170,20,135,86] + [300,300] 
[0,1,90,180,180,90,85,10,160,45,90,95,170,20,135,86] + [500,500] 
[0,1,90,180,180,90,85,30,160,35,90,95,150,20,150,86] + [1000,1000]
[90,13,90,90,169,90,90,63,76,110,90,91,116,106,72,90] + [1000,1000] 
